nome;nome_sistema;tombamento;ano;local_sistema;local_exato_ambiente;condicao
Beliche De Aco;BELICHE DE ACO;69037;Anterior a 2019;DIBEM;;Pendente
Beliche De Aco;BELICHE DE ACO;69050;Anterior a 2019;DIBEM;;Pendente
Cadeira Com Assento E Encosto Em Palhinha,Giratori;CADEIRA COM ASSENTO E ENCOSTO EM PALHINHA,GIRATORI;69073;Anterior a 2019;PRAE;;Pendente
Cama De Madeira Para Solteiro;CAMA DE MADEIRA PARA SOLTEIRO;69109;Anterior a 2019;DIBEM;;Pendente
Cadeira Fixa Com Assento E Encosto Em Palhinha;CADEIRA FIXA COM ASSENTO E ENCOSTO EM PALHINHA;73270;Anterior a 2019;PRAE;;Pendente
Cadeira Com Assento E Encosto Em Palhinha,Giratori;CADEIRA COM ASSENTO E ENCOSTO EM PALHINHA,GIRATORI;73276;Anterior a 2019;PRAE;;Pendente
Cadeira Com Assento E Encosto Em Palhinha,Giratori;CADEIRA COM ASSENTO E ENCOSTO EM PALHINHA,GIRATORI;73606;Anterior a 2019;PRAE;;Pendente
Mocho Odontologico;MOCHO ODONTOLOGICO;73851;Anterior a 2019;CAME;;Pendente
Armario De Aco;ARMARIO DE ACO;73853;Anterior a 2019;CAME;;Pendente
Mesa Angular ;MESA RETANGULAR DE MADEIRA PARA REUNIAO;73963;Anterior a 2019;DIBEM;Residência 148;Bom
Mesa X;MESA AUXILIAR PARA CONSULTORIO DENTARIO;74484;Anterior a 2019;CAME;;Pendente
Mesa 03;MESA DE MADEIRA COM 03 GAVETAS;75009;Anterior a 2019;DIBEM;;Pendente
Mesa ;MESA DE MADEIRA SEM GAVETA;75186;Anterior a 2019;DIBEM;;Pendente
Mesa ;MESA DE MADEIRA SEM GAVETA;75187;Anterior a 2019;DIBEM;;Pendente
Armario De Madeira Com Portas De Abrir;ARMARIO DE MADEIRA COM PORTAS DE ABRIR;75193;Anterior a 2019;DIBEM;;Pendente
Cama De Madeira Para Solteiro;CAMA DE MADEIRA PARA SOLTEIRO;75308;Anterior a 2019;DIBEM;;Pendente
Beliche De Madeira;BELICHE DE MADEIRA;75309;Anterior a 2019;DIBEM;Residencia 2133;Bom
Cadeira De Madeira Com Assento E Encosto Anatomico;CADEIRA DE MADEIRA COM ASSENTO E ENCOSTO ANATOMICO;78625;Anterior a 2019;DIBEM;;Pendente
Cadeira De Madeira Com Assento E Encosto Anatomico;CADEIRA DE MADEIRA COM ASSENTO E ENCOSTO ANATOMICO;79776;Anterior a 2019;DIBEM;;Pendente
Cadeira De Madeira Com Assento E Encosto Anatomico;CADEIRA DE MADEIRA COM ASSENTO E ENCOSTO ANATOMICO;79778;Anterior a 2019;DIBEM;Residencia 2216;Ruim
Escada De Ferro Com 02 Degraus Para Cama Hospitala;ESCADA DE FERRO COM 02 DEGRAUS PARA CAMA HOSPITALA;82993;Anterior a 2019;CAME;;Pendente
Arquivo De Aco Com Gavetas;ARQUIVO DE ACO COM GAVETAS;84348;Anterior a 2019;CAME;;Pendente
Armario De Madeira Com Portas De Abrir;ARMARIO DE MADEIRA COM PORTAS DE ABRIR;84349;Anterior a 2019;PRAE;;Pendente
Carteira  Com Assento E Encosto Em Madeira;CARTEIRA  COM ASSENTO E ENCOSTO EM MADEIRA;84578;Anterior a 2019;DIBEM;;Pendente
Carteira  Com Assento E Encosto Em Madeira;CARTEIRA  COM ASSENTO E ENCOSTO EM MADEIRA;84691;Anterior a 2019;DIBEM;;Pendente
Cadeira De Madeira Com Assento E Encosto Anatomico;CADEIRA DE MADEIRA COM ASSENTO E ENCOSTO ANATOMICO;85291;Anterior a 2019;DIBEM;;Pendente
Camara Escura Para Revelacao De Radiografia;CAMARA ESCURA PARA REVELACAO DE RADIOGRAFIA;85357;Anterior a 2019;CAME;;Pendente
Mesa ;MESA PARA MICROCOMPUTADOR;88979;Anterior a 2019;DIBEM;;Pendente
Mesa ;MESA PARA MICROCOMPUTADOR;88982;Anterior a 2019;DIBEM;;Pendente
Mesa ;MESA PARA MICROCOMPUTADOR;89006;Anterior a 2019;DIBEM;;Pendente
Mesa ;MESA PARA MICROCOMPUTADOR;89009;Anterior a 2019;DIBEM;;Pendente
Mesa ;MESA PARA MICROCOMPUTADOR;89013;Anterior a 2019;DIBEM;;Pendente
Mesa ;MESA PARA MICROCOMPUTADOR;89015;Anterior a 2019;DIBEM;;Pendente
Mesa ;MESA PARA MICROCOMPUTADOR;89023;Anterior a 2019;DIBEM;;Pendente
Mesa ;MESA PARA MICROCOMPUTADOR;89162;Anterior a 2019;DIBEM;;Pendente
Beliche De Madeira;BELICHE DE MADEIRA;90189;Anterior a 2019;DIBEM;;Pendente
Cadeira Fixa Com Assento E Encosto Em Palhinha;CADEIRA FIXA COM ASSENTO E ENCOSTO EM PALHINHA;96079;Anterior a 2019;DIBEM;;Pendente
Cureta - Consumo -;CURETA - CONSUMO -;126798;Anterior a 2019;CAME;;Pendente
Cureta - Consumo -;CURETA - CONSUMO -;126799;Anterior a 2019;CAME;;Pendente
Calculador De Hollemback;CALCULADOR DE HOLLEMBACK;126800;Anterior a 2019;CAME;;Pendente
Instrumental Odontologico Para Periondontia;INSTRUMENTAL ODONTOLOGICO PARA PERIONDONTIA;126801;Anterior a 2019;CAME;;Pendente
Oculos Protetor - Consumo -;OCULOS PROTETOR - CONSUMO -;126856;Anterior a 2019;CAME;;Pendente
Brunidor - Consumo;BRUNIDOR - CONSUMO;126859;Anterior a 2019;CAME;;Pendente
Esculpidor - Consumo -;ESCULPIDOR - CONSUMO -;126860;Anterior a 2019;CAME;;Pendente
Esculpidor - Consumo -;ESCULPIDOR - CONSUMO -;126861;Anterior a 2019;CAME;;Pendente
Esculpidor - Consumo -;ESCULPIDOR - CONSUMO -;126862;Anterior a 2019;CAME;;Pendente
Pinca - Consumo -;PINCA - CONSUMO -;126863;Anterior a 2019;CAME;;Pendente
Cabo De Bisturi - Consumo -;CABO DE BISTURI - CONSUMO -;126880;Anterior a 2019;CAME;;Pendente
Cabo De Bisturi - Consumo -;CABO DE BISTURI - CONSUMO -;126881;Anterior a 2019;CAME;;Pendente
Cabo De Bisturi - Consumo -;CABO DE BISTURI - CONSUMO -;126882;Anterior a 2019;CAME;;Pendente
Brunidor - Consumo;BRUNIDOR - CONSUMO;126883;Anterior a 2019;CAME;;Pendente
Espatula - Consumo -;ESPATULA - CONSUMO -;126884;Anterior a 2019;CAME;;Pendente
Espatula - Consumo -;ESPATULA - CONSUMO -;126885;Anterior a 2019;CAME;;Pendente
Espatula - Consumo -;ESPATULA - CONSUMO -;126886;Anterior a 2019;CAME;;Pendente
Espatula - Consumo -;ESPATULA - CONSUMO -;126887;Anterior a 2019;CAME;;Pendente
Espatula - Consumo -;ESPATULA - CONSUMO -;126888;Anterior a 2019;CAME;;Pendente
Espatula - Consumo -;ESPATULA - CONSUMO -;126889;Anterior a 2019;CAME;;Pendente
Lamparina - Consumo -;LAMPARINA - CONSUMO -;126890;Anterior a 2019;CAME;;Pendente
Bisturi Eletrico;BISTURI ELETRICO;126891;Anterior a 2019;CAME;;Pendente
Bisturi Eletrico;BISTURI ELETRICO;126892;Anterior a 2019;CAME;;Pendente
Estojo Forceps  - Consumo -;ESTOJO FORCEPS  - CONSUMO -;126893;Anterior a 2019;CAME;;Pendente
Estojo Forceps  - Consumo -;ESTOJO FORCEPS  - CONSUMO -;126894;Anterior a 2019;CAME;;Pendente
Estojo Forceps  - Consumo -;ESTOJO FORCEPS  - CONSUMO -;126895;Anterior a 2019;CAME;;Pendente
Estojo Forceps  - Consumo -;ESTOJO FORCEPS  - CONSUMO -;126896;Anterior a 2019;CAME;;Pendente
Bandeja De Aco Inox  - Consumo -;BANDEJA DE ACO INOX  - CONSUMO -;127797;Anterior a 2019;CAME;;Pendente
Bandeja De Aco Inox  - Consumo -;BANDEJA DE ACO INOX  - CONSUMO -;127798;Anterior a 2019;CAME;;Pendente
Bandeja De Aco Inox  - Consumo -;BANDEJA DE ACO INOX  - CONSUMO -;127799;Anterior a 2019;CAME;;Pendente
Cubetas - Consumo -;CUBETAS - CONSUMO -;134429;Anterior a 2019;CAME;;Pendente
Boticao - Consumo -;BOTICAO - CONSUMO -;134430;Anterior a 2019;CAME;;Pendente
Cuba De Aco Inox - Consumo -;CUBA DE ACO INOX - CONSUMO -;134753;Anterior a 2019;CAME;;Pendente
Cuba De Aco Inox - Consumo -;CUBA DE ACO INOX - CONSUMO -;134754;Anterior a 2019;CAME;;Pendente
Cuba De Aco Inox - Consumo -;CUBA DE ACO INOX - CONSUMO -;134755;Anterior a 2019;CAME;;Pendente
Cuba De Aco Inox - Consumo -;CUBA DE ACO INOX - CONSUMO -;134756;Anterior a 2019;CAME;;Pendente
"Televisão 16""";"TELEVISOR EM CORES 16""";150627;Anterior a 2019;DIBEM;;Pendente
Televisão;MESA PARA APARELHO DE TV E VIDEO;150656;Anterior a 2019;DIBEM;;Pendente
Cadeira De Madeira Com Assento E Encosto Anatomico;CADEIRA DE MADEIRA COM ASSENTO E ENCOSTO ANATOMICO;154814;Anterior a 2019;DIBEM;;Pendente
Cadeira De Madeira Com Assento E Encosto Anatomico;CADEIRA DE MADEIRA COM ASSENTO E ENCOSTO ANATOMICO;154904;Anterior a 2019;DIBEM;;Pendente
Cadeira De Madeira Com Assento E Encosto Anatomico;CADEIRA DE MADEIRA COM ASSENTO E ENCOSTO ANATOMICO;154906;Anterior a 2019;DIBEM;;Pendente
Cadeira De Madeira Com Assento E Encosto Anatomico;CADEIRA DE MADEIRA COM ASSENTO E ENCOSTO ANATOMICO;154946;Anterior a 2019;DIBEM;;Pendente
Cadeira De Madeira Com Assento E Encosto Anatomico;CADEIRA DE MADEIRA COM ASSENTO E ENCOSTO ANATOMICO;154947;Anterior a 2019;DIBEM;;Pendente
Cadeira De Madeira Com Assento E Encosto Anatomico;CADEIRA DE MADEIRA COM ASSENTO E ENCOSTO ANATOMICO;154950;Anterior a 2019;DIBEM;;Pendente
Modulo Em Compensado;MODULO EM COMPENSADO;155516;Anterior a 2019;DIBEM;;Pendente
Mesa 02;MESA DE MADEIRA COM 02 GAVETAS;155930;Anterior a 2019;PRAE;;Pendente
Escrivaninha De Madeira Com Gavetas;ESCRIVANINHA DE MADEIRA COM GAVETAS;156063;Anterior a 2019;DIBEM;;Pendente
Escrivaninha De Madeira Com Gavetas;ESCRIVANINHA DE MADEIRA COM GAVETAS;156094;Anterior a 2019;DIBEM;;Pendente
Escrivaninha De Madeira Com Gavetas;ESCRIVANINHA DE MADEIRA COM GAVETAS;156105;Anterior a 2019;DIBEM;;Pendente
Escrivaninha De Madeira Com Gavetas;ESCRIVANINHA DE MADEIRA COM GAVETAS;156114;Anterior a 2019;DIBEM;;Pendente
Escrivaninha De Madeira Com Gavetas;ESCRIVANINHA DE MADEIRA COM GAVETAS;156116;Anterior a 2019;DIBEM;Residencia 2133;Bom
Escrivaninha De Madeira Com Gavetas;ESCRIVANINHA DE MADEIRA COM GAVETAS;156119;Anterior a 2019;DIBEM;;Pendente
Escrivaninha De Madeira Com Gavetas;ESCRIVANINHA DE MADEIRA COM GAVETAS;156122;Anterior a 2019;DIBEM;Residencia 2133;Ruim
Escrivaninha De Madeira Com Gavetas;ESCRIVANINHA DE MADEIRA COM GAVETAS;156124;Anterior a 2019;DIBEM;;Pendente
Escrivaninha De Madeira Com Gavetas;ESCRIVANINHA DE MADEIRA COM GAVETAS;156138;Anterior a 2019;DIBEM;Residencia 433;Ruim
Escrivaninha De Madeira Com Gavetas;ESCRIVANINHA DE MADEIRA COM GAVETAS;156145;Anterior a 2019;DIBEM;Residencia 2133;Bom
Escrivaninha De Madeira Com Gavetas;ESCRIVANINHA DE MADEIRA COM GAVETAS;156149;Anterior a 2019;DIBEM;;Pendente
Estante De Aco Aberta Com Prateleiras;ESTANTE DE ACO ABERTA COM PRATELEIRAS;157223;Anterior a 2019;CAME;;Pendente
